keyword,channel_type,language
customer care,general,en
customer service,general,en
consumer care,general,en
consumer feedback,general,en
consumer redressal,grievance,en
helpline,phone,en
toll free,phone,en
toll-free,phone,en
complaint,grievance,en
complaints,grievance,en
feedback,general,en
queries,general,en
query,general,en
contact us,general,en
reach us,general,en
write to us,general,en
grievance officer,grievance,en
grievance,grievance,en
support,general,en
care executive,general,en
customer query,general,en
consumer cell,general,en
care cell,general,en
cell,general,en
in case of consumer complaints,grievance,en
redressal,grievance,en
for complaints,grievance,en
for feedback,general,en
patient care,general,en
contact,general,en
cust care,general,en
cust. care,general,en
customr,general,en
consumr,general,en
helplin,phone,en
toll fre,phone,en
tol free,phone,en
feedbk,general,en
care@,email,en
ग्राहक सेवा,general,hi
उपभोक्ता शिकायत,grievance,hi
हेल्पलाइन,phone,hi
टोल फ्री,phone,hi
संपर्क,general,hi
शिकायत,grievance,hi
ग्राहक तक्रार,grievance,mr
ग्राहक मदत,general,mr
వినియోగదారుల సంరక్షణ,general,te
వినియోగదారుల ఫిర్యాదులు,grievance,te
హెల్ప్‌లైన్,phone,te
టోల్ ఫ్రీ,phone,te
సంప్రదించండి,general,te
సహాయం,general,te
গ্রাহক সেবা,general,bn
গ্রাহক সহায়তা,general,bn
অভিযোগ,grievance,bn
হেল্পলাইন,phone,bn
ਗ੍ਰਾਹਕ ਸੇਵਾ,general,pa
ਸਹਾਇਤਾ,general,pa
ਸ਼ਿਕਾਇਤ ਨਿਵਾਰਣ,grievance,pa
ਹੈਲਪਲਾਈਨ,phone,pa
صارفین کی دیکھ بھال,general,ur
شکایات سیل,grievance,ur
ہیلپ لائن,phone,ur
வாடிக்கையாளர் சேவை,general,ta
உதவி எண்,phone,ta
ગ્રાહક સેવા,general,gu
સહાયતા,general,gu
ಗ್ರಾಹಕರ ಸೇವೆ,general,kn
ಸಹಾಯವಾಣಿ,phone,kn
